,k=1,k=1,k=5,k=5,k=10,k=10,k=20,k=20
s,kNN,kCNN,kNN,kCNN,kNN,kCNN,kNN,kCNN
0.1,0.504,0.074,0.115,0.017,0.065,0.011,0.038,0.006
0.5,0.483,0.08,0.094,0.022,0.046,0.019,0.025,0.016
1,0.449,0.113,0.082,0.054,0.042,0.053,0.028,0.058
1.5,0.308,0.104,0.056,0.064,0.024,0.073,0.016,0.085
2,0.211,0.096,0.045,0.082,0.024,0.094,0.016,0.113
,k=1,k=1,k=5,k=5,k=10,k=10,k=20,k=20
p,kNN,kCNN,kNN,kCNN,kNN,kCNN,kNN,kCNN
2,0.502,0.07,0.122,0.014,0.054,0.006,0.022,0.004
5,0.499,0.017,0.1,0.003,0.048,0.002,0.021,0.002
10,0.503,0.007,0.112,0.003,0.058,0.002,0.027,0.002
30,0.5,0.002,0.102,0.002,0.053,0.001,0.026,0.001
50,0.494,0.002,0.103,0.001,0.049,0.001,0.023,0.001
Table 3: MSE as a function of k and s for kNN and kCNN. 100 training instances and p = 2 were used. The results were the averages of 10 replicates. ,,,,,,,,
