,Football,Football,Football,Karate,Karate,Karate,Polbooks,Polbooks,Polbooks
,NMI,ARI,Pur.,NMI,ARI,Pur.,NMI,ARI,Pur.
Attractor,0.886,0.812,0.914,0.57,0.431,0.758,0.82,0.611,0.773
Ncut,0.921,0.908,0.964,0.986,0.994,0.997,0.79,0.573,0.769
Modularity,0.783,0.739,0.796,0.831,0.904,0.891,0.365,0.211,0.34
Metis,0.775,0.673,0.837,0.678,0.598,0.871,0.426,0.119,0.344
MCL,0.846,0.726,0.882,0.844,0.857,0.957,0.694,0.286,0.733
Spectral,0.189,0.077,0.344,0.013,0.005,0.48,0.272,0.04,0.328
PIC,0.614,0.532,0.692,0.797,0.817,0.894,0.396,0.092,0.328
FUSE,0.885,0.865,0.932,0.784,0.801,0.907,0.77,0.603,0.741
,NMI,ARI,Pur.,NMI,ARI,Pur.,NMI,ARI,Pur.
NMI,0.904,0.94,1,0.554,0.413,0.752,0.825,0.614,0.798
CLMC,0.988,0.987,0.995,0.926,0.954,0.98,0.793,0.575,0.769
Attractor,0.75,0.713,0.783,0.828,0.907,0.891,0.336,0.165,0.259
Ncut,0.775,0.674,0.842,0.697,0.609,0.877,0.444,0.155,0.377
Modularity,0.878,0.907,0.991,0.753,0.759,0.93,0.666,0.262,0.753
Metis,0.187,0.074,0.339,0.013,0.005,0.48,0.255,0.031,0.291
MCL,0.476,0.389,0.584,0.79,0.805,0.887,0.428,0.105,0.356
Spectral,0.87,0.838,0.919,0.926,0.951,0.98,0.759,0.519,0.717
"Table 2: The performance of di erent community detection algorithms on real-world data sets with missing edges of 10% and 20%, respectively. Here the evaluation matrices, NMI, ARI and Purity are reported. We use bold font to mark the best results and underline the second best. ",,,,,,,,,
