,Hospital 1,Hospital 1,Hospital 1,Hospital 1,Hospital 2,Hospital 2,Hospital 2,Hospital 2
Method,Precision,Recall,AUC,McNemar-,Precision,Recall,AUC,McNemar-
Target + Source (Unweighted),0.0492,0.4737,0.6993,-,0.0781,0.5556,0.7525,-
KLIEP-weighted,0.0383,0.3684,0.663,0.7,0.0813,0.5778,0.7362,0.88
Weighted Instances,0.0437,0.4211,0.6784,0.82,0.075,0.5333,0.7529,0.76
"Weighted Clusters, K = 1",0.0492,0.4737,0.6915,1,0.0781,0.5556,0.7554,1
"Weighted Clusters, K = 2",0.0437,0.4211,0.7208,0.84,0.0781,0.5556,0.7719,1
"Weighted Clusters, K = 3",0.0546,0.5263,0.7036,0.73,0.0813,0.5778,0.7736,0.79
Target + Source (Unweighted),0.1053,0.4444,0.6575,-,0.1667,0.6154,0.8553,-
KLIEP-weighted,0.0789,0.3333,0.5965,0.81,0.1875,0.6923,0.8234,0.72
Weighted Instances,0.1053,0.4444,0.6502,1,0.1667,0.6154,0.8665,1
"Weighted Clusters, K = 1",0.1053,0.4444,0.6703,1,0.1667,0.6154,0.8523,1
"Weighted Clusters, K = 2",0.1053,0.4444,0.6471,1,0.2083,0.7692,0.8695,0.29
"Weighted Clusters, K = 3",0.1053,0.4444,0.6429,1,0.1667,0.6154,0.8506,1
Target + Source (Unweighted),0.0317,1,0.9599,-,0.0686,0.9231,0.9077,-
KLIEP-weighted,0.0159,0.5,0.8878,0.76,0.0514,0.6923,0.8228,0.61
Weighted Instances,0.0317,1,0.9535,1,0.0629,0.8462,0.8813,0.84
"Weighted Clusters, K = 1",0.0317,1,0.9663,1,0.0629,0.8462,0.8998,0.82
"Weighted Clusters, K = 2",0.0317,1,0.9631,1,0.0629,0.8462,0.9086,0.83
"Weighted Clusters, K = 3",0.0317,1,0.9583,1,0.0629,0.8462,0.893,0.84
"Table 4: Operative Mortality: Comparing performance of weighted methods versus Target + Source (Un- weighted). Estimated precision, recall, and AUC are shown for Isolated AVR, Isolated MVR, and Isolated MV Repair procedures at each hospital. The best precision, recall, and AUC are in bold. McNemar¡¯s test p-values for differences between weighted methods and Target + Source (Unweighted) are shown for each task. ",,,,,,,,
