,ta,semeion,dna,caltech10,protein,sensit
SPML,83.56¡À0.50,94.60¡À0.27,92.85¡À0.37,65.46¡À0.50,59.15¡À0.37,74.99¡À0.10
OASIS,83.20¡À0.95,94.06¡À0.19,88.57¡À0.28,65.06¡À0.40,58.83¡À0.38,73.50¡À0.15
LMNN,84.79¡À0.65,93.77¡À0.48,95.13¡À0.26,67.17¡À0.49,60.73¡À0.12,76.47¡À0.04
Dropout,86.55¡À0.22,96.03¡À0.39,94.76¡À0.59,67.32¡À0.29,64.05¡À0.31,76.89¡À0.07
,ta,semeion,dna,caltech10,protein,sensit
SPML,83.56¡À0.50,94.60¡À0.27,92.85¡À0.37,65.46¡À0.50,59.15¡À0.37,74.99¡À0.10
SPML-M1,84.59¡À0.38,95.48¡À0.41,93.27¡À0.16,66.68¡À0.70,61.38¡À0.36,75.63¡À0.08
SPML-M2,84.46¡À0.44,95.27¡À0.35,93.91¡À0.32,66.15¡À0.40,61.03¡À0.48,75.90¡À0.23
SPML-D,84.74¡À0.56,95.44¡À0.27,93.41¡À0.23,66.27¡À0.36,62.14¡À0.68,76.84¡À0.13
,ta,semeion,dna,caltech10,protein,sensit
OASIS,83.20¡À0.95,94.06¡À0.19,88.57¡À0.28,65.06¡À0.40,58.83¡À0.38,73.50¡À0.15
OASIS-M1,84.74¡À0.86,95.69¡À0.43,93.35¡À0.33,67.11¡À0.31,62.44¡À0.55,75.47¡À0.15
OASIS-M2,84.79¡À0.79,94.73¡À0.38,94.33¡À0.54,66.12¡À0.49,62.61¡À0.60,75.47¡À0.12
OASIS-D,84.38¡À0.59,95.23¡À0.48,93.15¡À0.28,66.71¡À0.62,63.06¡À0.55,76.56¡À0.15
"Table 3: Comparison of classification accuracy (%) with state-of-art DML methods. ¡°Dropout¡± refers to the best result of dropout from Table 2. Note that LMNN is a batch learning algorithm, and there is no limitation for the triplets it uses and the number of PSD projections. The best result is bolded (statistical significance examined via pairwise t-tests at the 5% significance level). Table 4: Comparison of classification accuracy (%) for SPML and its variants by wrapping different dropout strategies in. The best result is bolded.
Table 5: Comparison of classification accuracy (%) for OASIS and its variants by wrapping different dropout strategies in. The best result is bolded.",,,,,,
