Data,Metrics,FastXML,PfastreXML,SLEEC,PDSparse,DiSMEC,PPDSparse
Mediamill,P@1 ,84.27,84.08,87.37,83.64,84.83,84.42
Mediamill,P@3 ,67.34,67.45,72.6,66.13,67.17,67.26
Mediamill,P@5 ,53.06,53.23,58.39,50.9,52.8,52.78
Bibtex,P@1 ,63.66,63.18,64.77,62.36,63.69,63.69
Bibtex,P@3 ,39.42,39.67,38.97,36.5,38.8,39.43
Bibtex,P@5 ,28.6,29.47,28.5,26.5,28.3,28.67
RCV,P@1 ,91.14,89.79,91.36,90.02,90.52,91.08
RCV,P@3 ,73.35,72.65,73.38,71.92,72.31,72.93
RCV,P@5 ,52.69,52.23,52.5,51.23,51.25,52.1
EURLex,P@1 ,70.86,70.33,79.15,75.9,70.61,74.61
EURLex,P@3 ,59.06,58.61,64.09,61.16,57.56,59.56
EURLex,P@5 ,49.58,49.69,52.09,50.83,47.33,48.43
"aloi,bin",accuracy ,95.71,93.43,93.74,96.2,96.28,96.38
LSHTC2,accuracy ,22.04,23.32,12.2,22.46,22.74,22.7
LSHTC6,accuracy ,40.76,39.78,33.03,39.91,39.38,39.32
"Table 2: Results and statistics for small Multilabel data sets, Ntrain= number of training samples, Ntest= number of testing samples, Ttrain = training time, Ttest = testing time, K = number of classes, D = number of features. P@k = top-k accuracy. DiSMECandPPDSparseareparallelizedwith100cores.Wehighlightthebestresultforeachmetric,exceptthatforTtrain we highlight best results among single-core solvers (le four) and parallel solvers. ",,,,,,,
